diaper, nappy, napki nipple      bucket, pail  swing     
bubble      saltshaker, salt shaker  maraca      golf ball 
bubble      maraca      toy poodle  Bouvier des Flandres, Bouviers des Flandres
plate       necklace    consomme    cup       
face powder  wool, woolen, woolle guinea pig, Cavia cobaya  paintbrush
pretzel     hair slide  coil, spiral, volute, whorl, helix  starfish, sea star
lacewing, lacewing fly  isopod      gazelle     impala, Aepyceros melampus
shower cap  mortar      lemo      Granny Smith
hair slide  spotlight, spot  dial telephone, dial phone  thimble   
sunglass    face powder  paddle, boat paddle  Petri dish
spotlight, spot  toilet seat  airship, dirigible  sunglass  
pill bottle  matchstick  rubber eraser, rubber, pencil eraser  cor     
bubble      spotlight, spot  sunglass    loupe, jeweler's loupe
wig         hamster     toy poodle  plastic bag
shower cap  balloo    spotlight, spot  pick, plectrum, plectron
bell pepper  hermit crab  cauliflower  conch     
spotlight, spot  toilet seat  fireboat    loupe, jeweler's loupe
sea lio   hippopotamus, hippo, river horse, Hippopotamus amphibius  bubble      chimpanzee, chimp, Patroglodytes
warthog     paper towel  tick        tennis ball
shower cap  bonnet, poke bonnet  toilet seat  lab coat, laboratory coat
lab coat, laboratory coat  bubble      toilet seat  spotlight, spot
panpipe, pandeapipe, syrinx  hair spray  neck brace  stole     
hourglass   triumphal arch  fountai   chime, bell, gong
mortar      dugong, Dugong dugo weasel      sea lio 
French horn, hor sombrero    cowboy hat, ten-gallohat  spotlight, spot
pill bottle  cor       hair slide  ping-pong ball
toilet seat  spotlight, spot  bathtub, bathing tub, bath, tub  soap dispenser
bubble      scorpio   perfume, essence  loupe, jeweler's loupe
radio telescope, radio reflector  water tower  sunglasses, dark glasses, shades  sunglass  
hair slide  face powder  pick, plectrum, plectro thimble   
spotlight, spot  Polaroid camera, Polaroid Land camera  bulletproof vest  pencil sharpener
car mirror  television, televisiosystem  sunglass    sunglasses, dark glasses, shades
loupe, jeweler's loupe  bubble      car mirror  unicycle, monocycle
pick, plectrum, plectro maraca      lampshade, lamp shade  hourglass 
scorpio   tree frog, tree-frog  fiddler crab  loupe, jeweler's loupe
digital watch  perfume, essence  sunglass    spotlight, spot
siamang, Hylobates syndactylus, Symphalangus syndactylus  titi, titi monkey  marmoset    Pekinese, Pekingese, Peke
face powder  hair slide  cup         strawberry
gong, tam-tam  chime, bell, gong  solar dish, solar collector, solar furnace  loupe, jeweler's loupe
spotlight, spot  soap dispenser  toaster     toilet seat
Windsor tie  suit, suit of clothes  bow tie, bow-tie, bowtie  lab coat, laboratory coat
sunglass    bubble      sunglasses, dark glasses, shades  hourglass 
hair slide  nematode, nematode worm, roundworm  starfish, sea star  pretzel   
perfume, essence  spotlight, spot  pencil sharpener  soap dispenser
face powder  loupe, jeweler's loupe  balloo    Petri dish
chiton, coat-of-mail shell, sea cradle, polyplacophore  bubble      screw       pick, plectrum, plectron
Americachameleon, anole, Anolis carolinensis  greelizard, Lacerta viridis  banded gecko  alligator lizard
soccer ball  plastic bag  golf ball   crash helmet
soup bowl   cauliflower  plate       consomme  
screw       half track  hair slide  amphibian, amphibious vehicle
mortar      toilet seat  fountai   loupe, jeweler's loupe
bonnet, poke bonnet  shower cap  mask        diaper, nappy, napkin
snow leopard, ounce, Panthera uncia  banded gecko  leopard, Panthera pardus  jaguar, panther, Panthera onca, Felis onca
sunglass    car mirror  sunglasses, dark glasses, shades  loupe, jeweler's loupe
bonnet, poke bonnet  shower cap  face powder  hoopskirt, crinoline
pill bottle  woodespoo rubber eraser, rubber, pencil eraser  spatula   
shower cap  briard      jellyfish   ox        
screw       bubble      hair slide  spotlight, spot
bubble      pick, plectrum, plectro loupe, jeweler's loupe  sunglass  
shower cap  strawberry  plate       ice cream, icecream
bubble      parachute, chute  soccer ball  bow       
loupe, jeweler's loupe  spotlight, spot  shower cap  face powder
sunglasses, dark glasses, shades  sunglass    car mirror  wig       
ram, tup    bighorn, bighorsheep, cimarron, Rocky Mountaibighorn, Rocky Mountaisheep, Ovis canadensis  isopod      ibex, Capra ibex
spotlight, spot  oil filter  microphone, mike  pick, plectrum, plectron
car mirror  solar dish, solar collector, solar furnace  spotlight, spot  hourglass 
chambered nautilus, pearly nautilus, nautilus  chiton, coat-of-mail shell, sea cradle, polyplacophore  maraca      baseball  
sunglass    sunglasses, dark glasses, shades  car mirror  loupe, jeweler's loupe
car mirror  loupe, jeweler's loupe  spotlight, spot  bubble    
vase        candle, taper, wax light  chambered nautilus, pearly nautilus, nautilus  screw     
mosquito net  goblet      plate rack  four-poster
car mirror  spotlight, spot  sunglasses, dark glasses, shades  sunglass  
car mirror  sunglass    sunglasses, dark glasses, shades  loupe, jeweler's loupe
spotlight, spot  vase        goblet      balloo  
stupa, tope  nipple      space shuttle  water bottle
plate rack  chime, bell, gong  hair slide  spatula   
bubble      balloo    golf ball   Petri dish
shower cap  loupe, jeweler's loupe  bathing cap, swimming cap  toilet tissue, toilet paper, bathroom tissue
pill bottle  hair slide  golf ball   thimble   
spotlight, spot  bubble      shower cap  pick, plectrum, plectron
shower cap  face powder  spotlight, spot  lampshade, lamp shade
running shoe  sandal      bow tie, bow-tie, bowtie  muzzle    
gong, tam-tam  chime, bell, gong  spotlight, spot  magnetic compass
lab coat, laboratory coat  vestment    stethoscope  Windsor tie
microphone, mike  thimble     strainer    oil filter
nail        face powder  paintbrush  necklace  
coyote, prairie wolf, brush wolf, Canis latrans  screw       timber wolf, grey wolf, gray wolf, Canis lupus  grey fox, gray fox, Urocyocinereoargenteus
spotlight, spot  screw       pick, plectrum, plectro face powder
bubble      shower cap  spotlight, spot  cicada, cicala
hair slide  spotlight, spot  screw       perfume, essence
spotlight, spot  screw       vase        face powder
bathing cap, swimming cap  seashore, coast, seacoast, sea-coast  puck, hockey puck  grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus
spotlight, spot  lemo      strainer    chambered nautilus, pearly nautilus, nautilus
golf ball   thimble     spotlight, spot  hair slide
conch       nematode, nematode worm, roundworm  parachute, chute  spotlight, spot
spotlight, spot  golf ball   loupe, jeweler's loupe  perfume, essence
spotlight, spot  toilet seat  analog clock  warplane, military plane
commoiguana, iguana, Iguana iguana  greelizard, Lacerta viridis  Africachameleon, Chamaeleo chamaeleo tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
lemo      face powder  pick, plectrum, plectro nematode, nematode worm, roundworm
spotlight, spot  loupe, jeweler's loupe  shower cap  bubble    
Arctic fox, white fox, Alopex lagopus  tub, vat    bathtub, bathing tub, bath, tub  weasel    
hourglass   spotlight, spot  scale, weighing machine  candle, taper, wax light
cor       bell pepper  pill bottle  Granny Smith
wig         fur coat    bonnet, poke bonnet  mask      
car mirror  thimble     sunglass    face powder
